Name;Class;Type;Range;Damage;Attacks;Dmg/sec;Decay;Ammo;Cost;Max.TT;Markup;Dmg/PEC;Efficiency;SIB;Source;Personal effects
A&P Series Hero, Adjusted;Carbine;Laser;88.0;44;46;23.4;0.280;1000;10.280;450.00;5266.00 PED;2.975;64.3;No;Looted; 
A&P Series Hero, Adjusted, SGA Edition;Carbine;Laser;88.0;46;46;24.5;0.747;1000;10.747;450.00; ;2.975;64.3;No;Looted; 
A&P Series Hero, Adjusted, TWEN Edition;Carbine;Laser;88.0;44;51;26.0;0.252;900;9.252;450.00;28500.00 PED;3.305;84.2; ;Looted; 
A&P Series Hero, Ancient;Carbine;Laser;88.0;30;35;12.2;0.500;700;7.500;45.00; ;2.780;50.7;No;Pregold; 
A&P Series King;Carbine;Laser;71.5;32;32;11.9;0.490;800;8.490;47.00; ;2.620;38.3;No;Looted; 
A&P Series Mayhem BC-30, Modified;Carbine;BLP;60.5;38;67;29.5;0.603;743;8.033;45.00; ;3.288;80.5;Yes;Mayhem Token Trader; 
A&P Series Mayhem BC-30, Modified (L);Carbine;BLP;60.5;38;67;29.5;0.603;743;8.033;90.00; ;3.288;80.5;Yes;Looted; 
A&P Series Mayhem BC-80, Augmented;Carbine;BLP;60.5;93.3;67;72.4;1.422;1754;18.962;145.00; ;3.420;88.0;Yes;Mayhem Token Trader; 
A&P Series Mayhem BC-80, Augmented (L);Carbine;BLP;60.5;93.3;67;72.4;1.422;1754;18.962;290.00;249.00%;3.420;88.0;Yes;Looted; 
A&P Series Mayhem BP-70, Perfected;Pistol;BLP;30.3;78.7;76;69.3;1.175;1448;15.655;125.00; ;3.494;92.5;Yes;Mayhem Token Trader; 
A&P Series Mayhem BP-70, Perfected (L);Pistol;BLP;30.3;78.7;76;69.3;1.175;1448;15.655;250.00; ;3.494;92.5;Yes;Looted; 
A&P Series Mayhem BP-110, Improved;Pistol;BLP;27.5;99;68;78.0;1.357;1629;17.647;205.00;0.00 PED;3.899;79.5;Yes;Mayhem Token Trader; 
A&P Series Mayhem BP-110, Improved (L);Pistol;BLP;27.5;99;68;78.0;1.357;1629;17.647;410.00; ;3.899;79.5;Yes;Looted; 
A&P Series Mayhem BP-130;Pistol;BLP;27.5;109.7;68;86.4;1.508;1810;19.608;205.00; ;3.888;65.5;Yes;Mayhem Token Trader; 
A&P Series Mayhem LB-40, Improved;Melee;Longblades;7.0;100;38;44.0;1.577;1944;21.017;85.00;30000.00 PED;3.307;76.5;Yes;Mayhem Token Trader; 
A&P Series Mayhem LB-50, Improved (L);Melee;Longblades;7.0;100;38;44.0;1.577;1944;21.017;170.00; ;3.307;76.5;Yes;Looted; 
A&P Series Mayhem LP-40, Perfected;Pistol;Laser;31.5;49.3;72;41.1;0.745;919;9.935;65.00; ;3.449;91.0;Yes;Mayhem Token Trader; 
A&P Series Mayhem LP-40, Perfected (L);Pistol;Laser;31.5;49.3;72;41.1;0.745;919;9.935;130.00; ;3.449;91.0;Yes;Looted; 
A&P Series Mayhem LP-100, Modified;Pistol;Laser;28.6;97;72;80.9;1.362;1710;18.462;185.00; ;3.652;84.0;Yes;Mayhem Token Trader; 
A&P Series Mayhem LP-100, Modified (L);Pistol;Laser;28.6;97;72;80.9;1.362;1710;18.462;370.00; ;3.652;84.0;Yes;Looted; 
A&P Series Mayhem LP-120;Pistol;Laser;28.6;109;65;82.1;1.513;1900;20.513;205.00; ;3.693;65.0;Yes;Mayhem Token Trader; 
A&P Series Mayhem LP-120, Perfected;Pistol;Laser;31.5;114.6;72;95.6;1.406;1900;20.406;205.00; ;3.903;95.0;Yes;Mayhem; 
A&P Series Mayhem LR-20, Adjusted;Rifle;Laser;85.8;35;48;19.5;0.620;764;8.260;25.00; ;2.945;70.0;Yes;Mayhem Token Trader; 
A&P Series Mayhem LR-20, Adjusted (L);Rifle;Laser;85.8;35;48;19.5;0.620;764;8.260;50.00; ;2.945;70.0;Yes;Looted; 
A&P Series Mayhem LR-60, Augmented;Rifle;Laser;85.8;98.4;53;60.4;1.509;1861;20.119;105.00;160000.00 PED;3.399;87.0;Yes;Mayhem Token Trader; 
A&P Series Mayhem LR-60, Augmented (L);Rifle;Laser;85.8;98.4;53;60.4;1.509;1861;20.119;210.00; ;3.399;87.0;Yes;Looted; 
A&P Series Mayhem SB-90, Adjusted;Melee;Shortblades;5.0;77.6;76;68.3;1.314;1623;17.544;165.00; ;3.074;73.5;Yes;Mayhem Token Trader; 
A&P Series Mayhem SB-90, Adjusted (L);Melee;Shortblades;5.0;77.6;76;68.3;1.315;1623;17.545;330.00; ;3.074;73.5;Yes;Looted; 
A.R.C. Fire Starter (L);Flamethrower;BLP;13.2;28;74;24.0;3.409;325;6.659;440.00; ;2.922;60.5;Yes;Crafted;Burn 50% of damage for 4 sec
A.R.C. Improved Fire Breather (L);Flamethrower;BLP;16.5;9;83;8.7;0.100;232;2.420;5.00; ;2.585; ;Yes;Old Time Imperium Token Trader; 
A.R.C. Improved HK (L);Carbine;Laser;44.0;6;95;6.6;0.100;135;1.450;5.00; ;2.876; ;Yes;Old Time Imperium Token Trader; 
A.R.C. Improved Psy-Blade (L);Melee;Power Fist; ; ; ; ; ; ; ; ; ; ; ;Yes;Old Time Imperium Token Trader; 
A.R.C. Improved Psy-Sword (L);Melee;Longblades;4.0;14;22;3.6; ;0; ; ; ; ; ;Yes;Old Time Imperium Token Trader; 
A.R.C. Improved Scorpion (L);Pistol;Laser; ; ; ; ; ; ; ; ; ; ; ;Yes;Old Time Imperium Token Trader; 
A.R.C. Improved Survival Knife (L);Melee;Shortblades; ; ; ; ; ; ; ; ; ; ; ;Yes;Old Time Imperium Token Trader; 
A.R.C. Scorpion AP1 (L);Pistol;Laser;26.4;4;75;3.5;0.560;40;0.960;299.00; ;2.896;58.2;Yes;Crafted; 
A.R.C. Scorpion AP2 (L);Pistol;Laser;27.5;6;76;5.3; ;76; ;350.00; ; ;56.7;Yes;Crafted; 
Aakas Fire Dagger;Melee;Shortblades;4.0;50;63;36.5;12.039;0;12.039;130.00; ;2.886;57.5;Yes;Instance, Looted; 
Ace Of Spades Axe (L);Melee;Axes;5.0;120;35;48.7;28.613;0;28.613;295.00; ;2.915;59.6;Yes;Looted; 
Ace of Spades Axe (L) Brutal;Melee;Axes;5.0;158;38;69.5; ;0; ;377.00; ; ;59.2;Yes;Looted; 
Ach O Torment's Tainted Whip (L);Melee;Whip;7.0;132;39;59.6; ;0; ;527.00; ; ;61.3;Yes;Event; 
Adolescent Argonaut's Claws (L);Melee;Power Fist;6.0;40;61;28.3; ;0; ;110.00; ; ;60.5;Yes;Looted; 
Adventure Pistol mk I (L);Pistol;BLP;20.9;23;67;17.8;0.522;504;5.562;43.00;111.69%;2.874;56.6;Yes;Looted; 
Adventure Pistol mk II (L);Pistol;BLP;22.0;33;69;26.4;0.737;722;7.957;63.00; ;2.882;56.7;Yes;Looted; 
Adventure Pistol mk III (L);Pistol;BLP;23.1;38;68;29.9;0.883;830;9.183;73.00; ;2.876;56.8;Yes;Looted; 
Aelgen Type E91 (L);Rifle;BLP;82.5;105;67;81.5;5.019;2005;25.069;342.00; ;2.911;59.4;Yes;Crafted; 
AI Hunter Pistol (L);Pistol;BLP;30.8;2;34;0.8;0.081;41;0.491;0.50; ;2.831;53.5;Yes;TT RT; 
A large trout (L);Melee;Clubs;5.0;2;22;0.5;0.485;0;0.485;1.00;450.00%;2.866;56.0;Yes;Holiday Gift; 
Ancient Red Scorpion;Pistol;Laser;60.5;11;67;8.5;1.226;140;2.626;375.00; ;2.911;59.5;Yes;Looted; 
Archon's Sword;Melee;Longblades;5.0;53;53;32.5;12.325;0;12.325;123.00;3500.00 PED;2.989;65.3;Yes;Crafted; 
Ardora Ballista MK1 (L);Carbine;Laser;90.2;34;48;18.9;0.819;737;8.189;84.00; ;2.886;57.5;Yes;Looted; 
Ardora Ballista MK2 (L);Carbine;Laser;90.2;46;48;25.6; ;996; ;115.00; ; ;57.5;Yes;Looted; 
Ardora Ballista MK3 (L);Carbine;Laser;90.2;57;48;31.7;1.378;1235;13.728;143.00;112.00%;2.886;57.5;Yes;Looted; 
Ardora Ballista MK4 (L);Carbine;Laser;90.2;66;48;36.7; ;1426; ;167.00; ; ;57.9;Yes;Looted; 
Ardora Ballista MK5 (L);Carbine;Laser;90.2;74;48;41.1;1.799;1599;17.789;186.00; ;2.891;57.9;Yes;Looted; 
Ardora Ballista MK6 (L);Carbine;Laser;90.2;82;48;45.6;1.982;1773;19.712;205.00;107.00%;2.891;57.9;Yes;Looted; 
Ardora Ballista MK7 (L);Carbine;Laser;90.2;87;49;49.4;2.100;1881;20.910;218.00;120.14%;2.892;57.9;Yes;Looted; 
Ardora Ballista MK8 (L);Carbine;Laser;90.2;94;49;53.4;2.290;2030;22.590;237.00; ;2.892;58.0;Yes;Looted; 
Ardora Ballista MK9 (L);Carbine;Laser;90.2;100;49;56.8; ;2160; ;252.00; ; ;58.0;Yes;Looted; 
Ardora Ballista MK10 (L);Carbine;Laser;90.2;108;49;61.3;2.627;2332;25.947;273.00;0.00%;2.893;58.0;Yes;Looted; 
Armada Combat Knife mk I (L);Melee;Shortblades;8.0;30;84;29.2; ;0; ;259.00; ; ;59.4;Yes;Looted; 
Armada Combat Knife mk II (L);Melee;Shortblades; ;34;84;33.1;8.096;0;8.096;292.00; ;2.919; ;Yes;Looted; 
Armada Combat Knife mk III (L);Melee;Shortblades; ; ; ; ; ; ; ; ; ; ; ; ;Looted; 
ArMatrix BC-10 (L);Carbine;BLP;60.5;28;60;19.5;0.495;611;6.605;25.00;112.00%;2.946;62.4;Yes;Crafted; 
ArMatrix BC-15 (L);Carbine;BLP;60.5;33;60;22.9;0.583;719;7.773;35.00;108.57%;2.951;62.8;Yes;Crafted; 
ArMatrix BC-20 (L);Carbine;BLP;60.5;38;60;26.4;0.670;826;8.930;45.00;113.33%;2.957;63.2;Yes;Crafted; 
ArMatrix BC-25 (L);Carbine;BLP;60.5;44;60;30.6;0.775;956;10.335;55.00;112.73%;2.959;63.6;Yes;Crafted; 
ArMatrix BC-30 (L);Carbine;BLP;60.5;51;60;35.4;0.896;1105;11.946;65.00;115.38%;2.967;64.0;Yes;Crafted; 
ArMatrix BC-35 (L);Carbine;BLP;60.5;57;60;39.6;1.000;1233;13.330;75.00;117.33%;2.972;64.4;Yes;Crafted; 
ArMatrix BC-40 (L);Carbine;BLP;60.5;64;60;44.5;1.120;1381;14.930;85.00;114.12%;2.979;64.8;Yes;Crafted; 
ArMatrix BC-45 (L);Carbine;BLP;60.5;71;60;49.3;1.238;1527;16.508;95.00;113.50%;2.989;65.2;Yes;Crafted; 
ArMatrix BC-50 (L);Carbine;BLP;60.5;78;60;54.2;1.358;1675;18.108;105.00;125.71%;2.994;65.6;Yes;Crafted; 
ArMatrix BC-55 (L);Carbine;BLP;60.5;81;60;56.3;1.410;1739;18.800;115.00;128.70%;2.994;66.0;Yes;Crafted; 
ArMatrix BC-60 (L);Carbine;BLP;60.5;85;60;59.1;1.479;1823;19.709;125.00;134.40%;2.997;66.4;Yes;Crafted; 
ArMatrix BC-65 (L);Carbine;BLP;60.5;88;60;61.2;1.530;1886;20.390;135.00;125.00%;3.000;66.8;Yes;Crafted; 
ArMatrix BC-70 (L);Carbine;BLP;60.5;91;60;63.2;1.580;1949;21.070;145.00;129.00%;3.002;67.2;Yes;Crafted; 
ArMatrix BC-75 (L);Carbine;BLP;60.5;95;60;66.0;1.649;2033;21.979;155.00;130.32%;3.004;67.6;Yes;Crafted; 
ArMatrix BC-80 (L);Carbine;BLP;60.5;98;60;68.1;1.699;2095;22.649;165.00;140.61%;3.007;68.0;Yes;Crafted; 
ArMatrix BC-85 (L);Carbine;BLP;60.5;102;60;70.9;1.764;2176;23.524;175.00;159.43%;3.014;68.4;Yes;Crafted; 
ArMatrix BC-90 (L);Carbine;BLP;60.5;105;60;73.0;1.813;2235;24.163;185.00;143.27%;3.020;68.8;Yes;Crafted; 
ArMatrix BC-95 (L);Carbine;BLP;60.5;108;60;75.1;1.861;2295;24.811;195.00;143.08%;3.025;69.2;Yes;Crafted; 
ArMatrix BC-100 (L);Carbine;BLP;60.5;112;60;77.8;1.926;2375;25.676;205.00;151.22%;3.032;69.6;Yes;Crafted; 
ArMatrix BC-105 (L);Carbine;BLP;60.5;115;60;79.9;2.025;2429;26.315;215.00;151.16%;3.037;70.0;Yes;Crafted; 
ArMatrix BC-120, FEN Edition;Carbine;BLP;60.5;124.3;60;86.4;1.722;2050;22.222;205.00; ;3.888;75.5;Yes;FEN Token Trader; 
ArMatrix BC-120, FEN Edition (L);Carbine;BLP;60.5;124.3;60;86.4;1.722;2050;22.222;205.00; ;3.888;75.5;Yes;FEN Token Trader; 
ArMatrix BP-10 (L);Pistol;BLP;27.5;24;68;18.9;0.425;524;5.665;25.00;120.00%;2.944;62.4;Yes;Crafted; 
ArMatrix BP-15 (L);Pistol;BLP;27.5;27;68;21.3;0.477;588;6.357;35.00;111.34%;2.952;62.8;Yes;Crafted; 
ArMatrix BP-20 (L);Pistol;BLP;27.5;33;68;26.0;0.582;718;7.762;45.00;106.67%;2.955;63.2;Yes;Crafted; 
ArMatrix BP-20, FEN Edition;Pistol;BLP;27.5;33;76;29.1;0.524;646;6.984;45.00; ;3.284;83.2;Yes;FEN Token Trader; 
ArMatrix BP-20, FEN Edition (L);Pistol;BLP;27.5;33;76;29.1;0.524;646;6.984;45.00; ;3.284;83.2;Yes;FEN Token Trader; 
ArMatrix BP-20, TWEN Edition;Pistol;BLP;27.5;34.7;76;30.5;0.472;646;6.932;45.00; ;3.479;93.2; ;Event; 
ArMatrix BP-25 (L);Pistol;BLP;27.5;39;68;30.7;0.688;848;9.168;55.00;110.91%;2.956;63.6;Yes;Crafted; 
ArMatrix BP-30 (L);Pistol;BLP;27.5;45;68;35.4;0.790;975;10.540;65.00;113.85%;2.967;64.0;Yes;Crafted; 
ArMatrix BP-35 (L);Pistol;BLP;27.5;51;68;40.2;0.894;1103;11.924;75.00;113.33%;2.973;64.4;Yes;Crafted; 
ArMatrix BP-40 (L);Pistol;BLP;27.5;57;68;44.9;0.998;1230;13.298;85.00;115.29%;2.979;64.8;Yes;Crafted; 
ArMatrix BP-45 (L);Pistol;BLP;27.5;63;68;49.6;1.098;1355;14.648;95.00;113.68%;2.989;65.2;Yes;Crafted; 
ArMatrix BP-50 (L);Pistol;BLP;27.5;69;68;54.3;1.201;1482;16.021;105.00;112.38%;2.993;65.6;Yes;Crafted; 
ArMatrix BP-55 (L);Pistol;BLP;27.5;72;68;56.7;1.253;1546;16.713;115.00;115.65%;2.994;66.0;Yes;Crafted; 
ArMatrix BP-60 (L);Pistol;BLP;27.5;75;68;59.1;1.305;1609;17.395;125.00;117.60%;2.997;66.4;Yes;Crafted; 
ArMatrix BP-65 (L);Pistol;BLP;27.5;78;68;61.4;1.356;1672;18.076;135.00;119.26%;2.999;66.8;Yes;Crafted; 
ArMatrix BP-70 (L);Pistol;BLP;27.5;81;68;63.8;1.407;1735;18.757;146.29;140.00%;3.001;67.2;Yes;Crafted; 
ArMatrix BP-75 (L);Pistol;BLP;27.5;84;68;66.2;1.457;1798;19.437;155.00;137.42%;3.004;67.6;Yes;Crafted; 
ArMatrix BP-80 (L);Pistol;BLP;27.5;87;68;68.5;1.511;1860;20.111;165.00;144.24%;3.007;68.0;Yes;Crafted; 
ArMatrix BP-85 (L);Pistol;BLP;27.5;90;68;70.9;1.557;1920;20.757;175.00;147.43%;3.013;68.4;Yes;Crafted; 
ArMatrix BP-90 (L);Pistol;BLP;27.5;93;68;73.3;1.605;1980;21.405;185.00;149.73%;3.020;68.8;Yes;Crafted; 
ArMatrix BP-95 (L);Pistol;BLP;27.5;96;68;75.6; ;2040; ;195.00;124.40%; ;69.2;Yes;Crafted; 
ArMatrix BP-100 (L);Pistol;BLP;27.5;99;68;78.0;1.702;2100;22.702;205.00;179.00%;3.031;69.6;Yes;Crafted; 
ArMatrix BP-105 (L);Pistol;BLP;27.5;102;68;80.3; ;2155; ;215.00;139.53%; ;70.0;Yes;Crafted; 
ArMatrix LB-10 (L);Melee;Longblades;7.0;45.8;38;20.2;0.810;998;10.790;25.00;128.00%;2.950;62.4;Yes;Crafted; 
ArMatrix LB-15 (L);Melee;Longblades;7.0;52.9;38;23.3;0.750;1151;12.260;35.00;110.00%;2.999;62.8;Yes;Crafted; 
ArMatrix LB-20 (L);Melee;Longblades;7.0;62.2;38;27.4; ;1352; ;45.00;118.33%; ;63.2;Yes;Crafted; 
ArMatrix LB-25 (L);Melee;Longblades;7.0;71.4;38;31.4;1.257;1550;16.757;55.00; ;2.961;63.6;Yes;Crafted; 
ArMatrix LB-30 (L);Melee;Longblades;7.0;80;38;35.2;1.407;1734;18.747;65.00;114.76%;2.966;64.0;Yes;Crafted; 
ArMatrix LB-35 (L);Melee;Longblades;7.0;90;38;39.6;1.578;1945;21.028;75.00; ;2.975;64.4;Yes;Crafted; 
ArMatrix LB-40 (L);Melee;Longblades;7.0;100;38;44.0;1.752;2160;23.352;85.00;117.00%;2.976;64.8;Yes;Crafted; 
ArMatrix LB-45 (L);Melee;Longblades;7.0;112.6;38;49.6;1.971;2430;26.271;95.00;123.16%;2.979;65.2;Yes;Crafted; 
ArMatrix LB-50 (L);Melee;Longblades;7.0;121.3;38;53.4;2.117;2610;28.217;105.00; ;2.988;65.6;Yes;Crafted; 
ArMatrix LB-55 (L);Melee;Longblades;7.0;127.1;38;55.9; ;2730; ;115.00; ; ;66.0;Yes;Crafted; 
ArMatrix LB-60 (L);Melee;Longblades;7.0;134;38;59.0;2.338;2882;31.158;125.00; ;2.989;66.4;Yes;Crafted; 
ArMatrix LB-65 (L);Melee;Longblades;7.0;140;38;61.6;2.433;3000;32.433;135.00; ;3.000;66.8;Yes;Crafted; 
ArMatrix LB-70 (L);Melee;Longblades;7.0;144.2;38;63.5;2.503;3085;33.353;145.00;126.00%;3.005;67.2;Yes;Crafted; 
ArMatrix LB-75 (L);Melee;Longblades;7.0;150;38;66.0; ;3200; ;155.00; ; ;67.6;Yes;Crafted; 
ArMatrix LP-10 (L);Pistol;Laser;28.6;26;65;19.6;0.460;567;6.130;25.00;114.00%;2.948;62.4;Yes;Crafted; 
ArMatrix LP-15 (L);Pistol;Laser;28.6;31;65;23.3;0.548;676;7.308;35.00;114.29%;2.948;62.8;Yes;Crafted; 
ArMatrix LP-20 (L);Pistol;Laser;28.6;36;65;27.1;0.636;784;8.476;45.00;113.33%;2.952;63.2;Yes;Crafted; 
ArMatrix LP-25 (L);Pistol;Laser;28.6;41;65;30.9;0.723;892;9.643;55.00;114.55%;2.955;63.6;Yes;Crafted; 
ArMatrix LP-30 (L);Pistol;Laser;28.6;47;65;35.4;0.828;1021;11.038;65.00;117.48%;2.959;64.0;Yes;Crafted; 
ArMatrix LP-35 (L);Pistol;Laser;28.6;52;65;39.2;0.920;1126;12.180;75.00;121.33%;2.967;64.4;Yes;Crafted; 
ArMatrix LP-40 (L);Pistol;Laser;28.6;59;65;44.4;1.034;1275;13.784;85.00;115.00%;2.975;64.8;Yes;Crafted; 
ArMatrix LP-45 (L);Pistol;Laser;28.6;65;65;48.9;1.138;1403;15.168;95.00;113.00%;2.978;65.2;Yes;Crafted; 
ArMatrix LP-50 (L);Pistol;Laser;28.6;71;65;53.5;1.240;1529;16.530;105.00;114.45%;2.985;65.6;Yes;Crafted; 
ArMatrix LP-55 (L);Pistol;Laser;28.6;74;65;55.7;1.290;1591;17.200;115.00;136.66%;2.990;66.0;Yes;Crafted; 
ArMatrix LP-60 (L);Pistol;Laser;28.6;78;65;58.7;1.358;1674;18.098;125.00;122.40%;2.995;66.4;Yes;Crafted; 
ArMatrix LP-65 (L);Pistol;Laser;28.6;82;65;61.7;1.425;1757;18.995;135.00;134.81%;3.000;66.8;Yes;Crafted; 
ArMatrix LP-70 (L);Pistol;Laser;28.6;84;65;63.2;1.458;1797;19.428;145.00;126.95%;3.005;67.2;Yes;Crafted; 
ArMatrix LP-70, FEN Edition;Pistol;Laser;28.6;86.1;65;64.8;1.312;1617;17.482;145.00; ;3.423;92.2;Yes;FEN Token Trader; 
ArMatrix LP-70, FEN Edition (L);Pistol;Laser;28.6;86.1;65;64.8;1.312;1617;17.482;145.00; ;3.423;92.2;Yes;FEN Token Trader; 
ArMatrix LP-70, TWEN Edition;Pistol;Laser;28.6;88.2;72;73.6;1.312;1617;17.482; ; ;3.506;97.2; ;Event; 
ArMatrix LP-75 (L);Pistol;Laser;28.6;87;65;65.5;1.505;1858;20.085;155.00;150.97%;3.010;67.6;Yes;Crafted; 
ArMatrix LP-80 (L);Pistol;Laser;28.6;91;65;68.5;1.574;1941;20.984;165.00;163.03%;3.014;68.0;Yes;Crafted; 
ArMatrix LP-80, Perfected (L);Pistol;Laser;31.5;95.6;72;79.7;1.389;1707;18.459;165.00;300.00%;3.599;94.5;Yes;Refined; 
ArMatrix LP-85 (L);Pistol;Laser;28.6;94;65;70.8;1.296;1998;21.276;175.00;154.29%;3.071;68.4;Yes;Crafted; 
ArMatrix LP-90 (L);Pistol;Laser;28.6;97;65;73.0; ;2058; ;185.00; ; ;68.8;Yes;Crafted; 
ArMatrix LP-95 (L);Pistol;Laser;28.6;100;65;75.3; ;2118; ;195.00; ; ;69.2;Yes;Crafted; 
ArMatrix LP-100 (L);Pistol;Laser;28.6;104;65;78.3;1.772;2198;23.752;205.00;140.00%;3.043;69.6;Yes;Crafted; 
