Name;Class;Type;Range;Damage;Attacks;Dmg/sec;Decay;Ammo;Cost;Max.TT;Markup;Dmg/PEC;Efficiency;SIB;Source;Personal effects
Combustive Attack Nanochip 6;Mindforce;Pyro;70.4;119;22;30.3;1.399;2752;28.919;112.00; ;2.860;55.6;Yes;Looted; 
Combustive Attack Nanochip 6 (L);Mindforce;Pyro;70.4;119;22;30.3;0.659;2794;28.599;66.00;105.16%;2.892;57.9;Yes;Looted; 
Combustive Attack Nanochip 7;Mindforce;Pyro;68.2;145;22;37.0;1.866;3333;35.196;160.00;1100.00 PED;2.863;55.6;Yes;Looted; 
Combustive Attack Nanochip 7 (L);Mindforce;Pyro;68.2;145;22;37.0;0.700;3413;34.830;74.50; ;2.893;57.9;Yes;Looted; 
Combustive Attack Nanochip 8;Mindforce;Pyro;69.3;164;22;41.8;2.360;3745;39.810;212.00; ;2.863;55.6;Yes;Looted; 
Combustive Attack Nanochip 8 (L);Mindforce;Pyro;69.3;164;22;41.8;0.875;3855;39.425;94.50; ;2.891;57.9;Yes;Looted; 
Combustive Attack Nanochip 9 (L);Mindforce;Pyro;70.4;170;23;45.3; ;3990; ;100.00; ; ;57.8;Yes;Looted; 
Combustive Attack Nanochip 10 (L);Mindforce;Pyro;70.4;184;23;49.0;1.011;4322;44.231;104.00; ;2.891;57.9;Yes;Looted; 
Combustive Strike Chip 1 (L);Mindforce;Pyro;64.9;215;1;2.5;10.447;4210;52.547;23.00;200.00%;2.844;54.4;Yes;Looted; 
Combustive Strike Chip 2 (L);Mindforce;Pyro;63.8;236;1;2.7; ;4620; ;25.50; ; ;54.4;Yes;Looted; 
Combustive Strike Chip 3 (L);Mindforce;Pyro;64.9;256;1;3.0; ;5005; ;28.00; ; ;54.4;Yes;Looted; 
Combustive Strike Chip 4 (L);Mindforce;Pyro;66.0;276;1;3.2; ;5400; ;30.50; ; ;54.5;Yes;Looted; 
Combustive Strike Chip 5 (L);Mindforce;Pyro;67.1;294;1;3.4; ;5760; ;33.30;107.00%; ;54.4;Yes;Looted; 
Combustive Strike Chip 6 (L);Mindforce;Pyro;66.0;312;1;3.6; ;6100; ;35.80;180.00%; ;54.5;Yes;Looted; 
Combustive Strike Chip 7 (L);Mindforce;Pyro;67.1;326;1;3.8; ;6380; ;38.50; ; ;54.4;Yes;Looted; 
Combustive Strike Chip 8;Mindforce;Pyro;66.0;340;1;3.9; ;6680; ;119.00; ; ; ;Yes;MA Owned; 
Combustive Strike Chip 8 (L);Mindforce;Pyro;66.0;340;1;3.9; ;6650; ;41.00; ; ;54.4;Yes;Looted; 
Combustive Strike Nanochip (L);Mindforce;Pyro;64.9;215;1;2.5; ;5175; ;23.00; ; ;56.9;Yes;looted; 
Company Sub-Zero Sniper Rifle Mk I(L);Rifle;BLP;140.0;8;56;5.2; ;100; ;2.00; ; ; ;Yes; ; 
Confiscated Duster Slicer;Melee;Shortblades;4.0;35;74;30.0; ;0; ;5.00; ; ;58.2;Yes;Mission; 
Corrosive Attack Chip 1 (L);Mindforce;Pyro;19.8;5;67;3.9;0.235;109;1.325;9.00;116.66%;2.623;57.9;Yes;Looted; 
Corrosive Attack Chip 2 (L);Mindforce;Pyro;18.7;7;63;5.1;0.230;144;1.670;20.00; ;2.913;58.5;Yes;Looted; 
Corrosive Attack Chip 3 (L);Mindforce;Pyro;19.8;14;63;10.2; ;310; ;22.00; ; ;58.9;Yes;Looted; 
Corrosive Attack Chip 3, Mentor Edition;Mindforce;Pyro;19.8;19;63;13.9;0.667;392;4.587;26.00;900.00 PED;2.879;56.3;Yes;Mentoring; 
Corrosive Attack Chip 4 (L);Mindforce;Pyro;20.9;22;62;15.8;1.063;428;5.343;13.00; ;2.862;55.7;Yes;Looted; 
Corrosive Attack Chip 5 (L);Mindforce;Pyro;22.0;29;60;20.2;1.397;565;7.047;18.00; ;2.860;55.6;Yes;Looted; 
Corrosive Attack Chip 6 (L);Mindforce;Pyro;20.9;36;58;24.2;1.749;700;8.749;23.00; ;2.860;55.6;Yes;Looted; 
Corrosive Attack Chip 7 (L);Mindforce;Pyro;19.8;45;57;29.7;2.142;875;10.892;29.50;110.00%;2.871;55.6;Yes;Looted; 
Corrosive Attack Nanochip 1;Mindforce;Pyro;19.8;5;67;3.9;0.147;106;1.207;9.00; ;2.879;56.5;Yes;Looted; 
Corrosive Attack Nanochip 1 (L);Mindforce;Pyro;19.8;5;67;3.9;0.111;109;1.201;9.00;129.00%;2.893;57.9;Yes;Looted; 
Corrosive Attack Nanochip 2;Mindforce;Pyro;18.7;7;63;5.1;0.306;138;1.686;20.00;100.00 PED;2.886;56.7;Yes;Looted; 
Corrosive Attack Nanochip 2 (L);Mindforce;Pyro;18.7;7;63;5.1;0.237;144;1.677;20.00;115.00%;2.901;58.5;Yes;Looted; 
Corrosive Attack Nanochip 3;Mindforce;Pyro;19.8;14;63;10.2;0.275;304;3.315;23.00; ;2.935;57.1;Yes;Looted; 
Corrosive Attack Nanochip 3 (L);Mindforce;Pyro;19.8;14;63;10.2;0.249;310;3.349;22.00; ;2.905;58.9;Yes;Looted; 
Corrosive Attack Nanochip 4;Mindforce;Pyro;20.9;22;62;15.8;0.354;496;5.314;26.00; ;2.877;56.6;Yes;Looted; 
Corrosive Attack Nanochip 4 (L);Mindforce;Pyro;20.9;22;62;15.8;0.266;499;5.256;25.00; ;2.909;59.0;Yes;Looted; 
Corrosive Attack Nanochip 5;Mindforce;Pyro;22.0;29;60;20.2; ;653; ;36.00; ; ;56.9;Yes;Looted; 
Corrosive Attack Nanochip 5 (L);Mindforce;Pyro;22.0;29;60;20.2;0.275;665;6.925;27.00;100.00%;2.910;59.1;Yes;Looted; 
Corrosive Attack Nanochip 5, Adjusted;Mindforce;Pyro;22.0;29;60;20.2;0.464;653;6.994;36.00; ;2.882;56.9;Yes;Looted; 
Corrosive Attack Nanochip 5, TEN Edition;Mindforce;Pyro;24.2;29;67;22.5;0.466;631;6.776;50.00;1750.00 PED;2.974;64.2;Yes;Looted; 
Corrosive Attack Nanochip 6;Mindforce;Pyro;20.9;36;58;24.2;0.575;813;8.705;46.00; ;2.874;56.6;Yes;Looted; 
Corrosive Attack Nanochip 6 (L);Mindforce;Pyro;20.9;36;58;24.2;0.284;831;8.594;29.00; ;2.911;59.2;Yes;Looted; 
Corrosive Attack Nanochip 7;Mindforce;Pyro;19.8;45;57;29.7;0.688;1017;10.858;59.00; ;2.880;56.8;Yes;Looted; 
Corrosive Attack Nanochip 7 (L);Mindforce;Pyro;19.8;45;57;29.7;0.306;1045;10.756;32.00; ;2.908;59.1;Yes;Looted; 
Corrosive Attack Nanochip 8;Mindforce;Pyro;19.8;54;55;34.4;0.818;1223;13.048;72.00; ;2.876;56.8;Yes;Looted; 
Corrosive Attack Nanochip 8 (L);Mindforce;Pyro;19.8;54;55;34.4;0.326;1257;12.896;36.00; ;2.910;59.2;Yes;Looted; 
Corrosive Attack Nanochip 9;Mindforce;Pyro;20.9;62;54;38.8;0.923;1406;14.983;85.00; ;2.876;56.7;Yes;Looted; 
Corrosive Attack Nanochip 9 (L);Mindforce;Pyro;20.9;62;54;38.8;0.371;1444;14.811;42.50; ;2.909;59.1;Yes;Looted; 
Corrosive Attack Nanochip 10;Mindforce;Pyro;18.7;70;53;43.0;0.980;1591;16.890;98.00; ;2.880;56.8;Yes;Looted; 
Corrosive Attack Nanochip 10 (L);Mindforce;Pyro;18.7;70;53;43.0;0.407;1632;16.727;49.00; ;2.908;59.1;Yes;Looted; 
Corrosive Attack Nanochip 11;Mindforce;Pyro;19.8;78;51;46.1;0.878;1775;18.628;112.00; ;2.910;56.8;Yes; ; 
Corrosive Attack Nanochip 11 (L);Mindforce;Pyro;19.8;78;51;46.1;0.450;1819;18.640;56.00; ;2.908;59.0;Yes;Looted; 
Corrosive Attack Nanochip 12 (L);Mindforce;Pyro;20.9;87;49;49.4;0.522;2030;20.822;60.00; ;2.904;59.1;Yes;Looted; 
Corrosive Attack Nanochip 13 (L);Mindforce;Pyro;20.9;97;49;55.1;0.546;2264;23.186;65.00; ;2.908;59.1;Yes;Looted; 
Corrosive Attack Nanochip 13, FEN Edition;Mindforce;Pyro;20.9;97;55;61.8;0.481;2038;20.861;65.00; ;3.232;79.1;Yes;Event, Looted; 
Corrosive Strike Chip 1 (L);Mindforce;Pyro;25.3;97;5;5.6; ;1781; ;24.50; ; ;54.4;Yes;Looted; 
Corrosive Strike Chip 2 (L);Mindforce;Pyro;26.4;102;4;4.7; ;1870; ;25.50;107.00%; ;54.5;Yes;Looted; 
Corrosive Strike Chip 3 (L);Mindforce;Pyro;24.2;107;4;5.0;6.503;1963;26.133;27.00; ;2.846;54.5;Yes;Looted; 
Corrosive Strike Chip 4 (L);Mindforce;Pyro;24.2;112;4;5.2; ;2053; ;29.00; ; ; ;Yes;Looted; 
Corrosive Strike Chip 5 (L);Mindforce;Pyro;25.3;117;3;4.1; ;2145; ;30.00;115.00%; ;54.5;Yes;Looted; 
Corrosive Strike Nanochip (L);Mindforce;Pyro;25.3;97;5;5.6; ;2300; ;24.50; ; ; ;Yes;Looted; 
CQB-61 (Ammo (High Grade) variant);Rifle;BLP;19.8;123;41;58.4; ;2400; ;223.00; ; ;7.8;No;Looted; 
CQB-61 (BLP Pack/Universal Ammo variant);Rifle;BLP;19.8;123;41;58.4; ;2400; ;223.00; ; ;7.8;No; ; 
Creator's Edge (L);Melee;Longblades;9.0;104;35;42.2;24.870;0;24.870;211.00; ;2.906;59.0;Yes;Looted; 
Crusader Sword;Melee;Longblades;5.0;153;21;37.2; ;0; ;420.00; ; ;29.1;No;MA Only; 
Cryogenic Attack Chip 1 (L);Mindforce;Cryogenic;45.1;11;24;3.1;0.533;214;2.673;6.10;114.00%;2.860;55.6;Yes;Looted; 
Cryogenic Attack Chip 2 (L);Mindforce;Cryogenic;45.1;27;25;7.8;1.311;525;6.561;14.00;1138.00%;2.860;55.6;Yes;Looted; 
Cryogenic Attack Chip 3 (L);Mindforce;Cryogenic;46.2;47;25;13.6;2.271;915;11.421;24.00; ;2.860;55.6;Yes;Looted; 
Cryogenic Attack Chip 4 (L);Mindforce;Cryogenic;47.3;61;26;18.4;2.933;1189;14.823;32.50; ;2.860;55.6;Yes;Looted; 
Cryogenic Attack Chip 5 (L);Mindforce;Cryogenic;47.3;82;27;25.6;3.967;1596;19.927;41.00; ;2.860;55.6;Yes;Looted; 
Cryogenic Attack Chip 6 (L);Mindforce;Cryogenic;48.4;98;28;31.8;4.741;1906;23.801;49.00; ;2.862;55.6;Yes;Looted; 
Cryogenic Attack Chip 7 (L);Mindforce;Cryogenic;49.5;111;29;37.3;5.397;2158;26.977;57.00; ;2.860;55.6;Yes;Looted; 
Cryogenic Attack Chip 8 (L);Mindforce;Cryogenic;49.5;120;30;41.7;5.813;2335;29.163;61.00; ;2.860;55.6;Yes;Looted; 
Cryogenic Attack Nanochip 1;Mindforce;Cryogenic;45.1;11;24;3.1;0.196;247;2.666;12.00; ;2.868;55.8;Yes;Looted; 
Cryogenic Attack Nanochip 1 (L);Mindforce;Cryogenic;45.1;11;24;3.1;0.075;257;2.645;6.10; ;2.890;57.7;Yes;Looted; 
Cryogenic Attack Nanochip 2;Mindforce;Cryogenic;45.1;27;25;7.8;0.420;613;6.550;27.50; ;2.865;55.7;Yes;Looted; 
Cryogenic Attack Nanochip 2 (L);Mindforce;Cryogenic;45.1;27;25;7.8;0.165;632;6.485;14.00;110.00%;2.894;58.0;Yes;Looted; 
Cryogenic Attack Nanochip 3;Mindforce;Cryogenic;46.2;47;25;13.6; ;1092; ;34.00; ; ;55.6;Yes; ; 
Cryogenic Attack Nanochip 3 (L);Mindforce;Cryogenic;46.2;47;25;13.6;0.272;1102;11.292;24.00;105.00%;2.893;58.0;Yes;Looted; 
Cryogenic Attack Nanochip 4;Mindforce;Cryogenic;47.3;61;26;18.4;0.721;1409;14.811;53.00; ;2.862;55.5;Yes;Looted; 
Cryogenic Attack Nanochip 4 (L);Mindforce;Cryogenic;47.3;61;26;18.4;0.352;1430;14.652;32.50;105.00%;2.893;58.0;Yes;Looted; 
Cryogenic Attack Nanochip 4, Adjusted (L);Mindforce;Cryogenic;47.3;66;26;19.9;0.417;1533;15.747;39.00;107.69%;2.913;59.4;Yes;Looted;EoT: Target Deceleration 30% for 2s
Cryogenic Attack Nanochip 5;Mindforce;Cryogenic;47.3;82;27;25.6;0.980;1893;19.910;76.00; ;2.862;55.5;Yes;Looted; 
Cryogenic Attack Nanochip 5 (L);Mindforce;Cryogenic;47.3;82;27;25.6;0.418;1928;19.698;41.00;105.00%;2.893;57.9;Yes;Looted; 
Cryogenic Attack Nanochip 5, TEN Edition;Mindforce;Cryogenic;47.3;83;29;27.9;0.811;1864;19.451;82.00;800.00 PED;2.966;63.3;Yes;Looted; 
Cryogenic Attack Nanochip 6;Mindforce;Cryogenic;48.4;98;28;31.8;0.928;2284;23.768;78.00; ;2.866;55.6;Yes;Looted; 
Cryogenic Attack Nanochip 6 (L);Mindforce;Cryogenic;48.4;98;28;31.8;0.480;2306;23.540;49.00; ;2.893;57.9;Yes;Looted; 
Cryogenic Attack Nanochip 7;Mindforce;Cryogenic;49.5;111;29;37.3;1.135;2582;26.955;97.30;5000.00 PED;2.862;55.6;Yes;Looted; 
Cryogenic Attack Nanochip 7 (L);Mindforce;Cryogenic;49.5;111;29;37.3;0.537;2613;26.667;57.00;120.00%;2.893;57.9;Yes;Looted; 
Cryogenic Attack Nanochip 8;Mindforce;Cryogenic;49.5;120;30;41.7;1.231;2790;29.131;110.60;8000.00 PED;2.863;55.6;Yes;Looted; 
Cryogenic Attack Nanochip 8 (L);Mindforce;Cryogenic;49.5;120;30;41.7;0.564;2827;28.834;61.00; ;2.892;58.0;Yes;Looted; 
Cryogenic Attack Nanochip 9 (L);Mindforce;Cryogenic;50.6;131;31;47.0;0.683;3079;31.473;70.00; ;2.893;58.0;Yes;Looted; 
Cryogenic Attack Nanochip 10 (L);Mindforce;Cryogenic;50.6;146;31;52.4; ;3430; ;77.00; ; ;58.2;Yes;Looted; 
Cryogenic Attack Nanochip, TWEN Edition;Mindforce;Cryogenic;56.0;220;33;84.1;0.960;4500;45.960;200.00; ;3.327;78.0;Yes;TWEN Token Trader; 
Cryogenic Strike Chip 1 (L);Mindforce;Cryogenic;53.9;172;2;4.0;8.371;3366;42.031;18.00;1200.00%;2.844;54.4;Yes;Looted; 
Cryogenic Strike Chip 2 (L);Mindforce;Cryogenic;53.9;189;2;4.4;9.201;3699;46.191;22.00; ;2.844;54.4;Yes;Looted; 
Cryogenic Strike Chip 3 (L);Mindforce;Cryogenic;55.0;200;1;2.3; ;3910; ;26.00;115.00%; ;54.5;Yes;Looted; 
Cryogenic Strike Chip 4 (L);Mindforce;Cryogenic;56.1;216;1;2.5; ;4230; ;29.50;110.00%; ;54.7;Yes;Looted; 
Cryogenic Strike Chip 5 (L);Mindforce;Cryogenic;57.2;231;1;2.7; ;4520; ;33.40; ; ;54.4;Yes;Looted; 
Cryogenic Strike Chip 6 (L);Mindforce;Cryogenic;53.9;245;1;2.8; ;4790; ;37.30;110.00%; ;54.5;Yes;Looted; 
Cryogenic Strike Chip 7 (L);Mindforce;Cryogenic;55.0;258;1;3.0; ;5050; ;41.10;115.00%; ;54.5;Yes;Looted; 
Cryogenic Strike Chip 8 (L);Mindforce;Cryogenic;56.1;271;1;3.1; ;5300; ;45.00; ; ;54.4;Yes;Looted; 
Cryogenic Strike Nanochip (L);Mindforce;Cryogenic;53.9;172;2;4.0; ;4140; ;18.00; ; ; ;Yes;Looted; 
Custom Killed By Death Axe (L);Melee;Axes;6.0;48;38;21.1; ; ; ;143.00; ; ;62.3;Yes;Looted; 
Dagger of Despair;Melee;Shortblades;5.0;59;50;34.2;14.682;0;14.682;301.00; ;2.793;50.8;No;Looted; 
Dagger of Despair, Adjusted;Melee;Shortblades;7.0;62;67;48.1;14.512;0;14.512;566.00; ;2.969;63.8;No;Event; 
Dagger of Despair, SGA Edition;Melee;Shortblades;5.0;60;53;36.8; ;0; ;301.00; ; ;54.2;No;Looted; 
Dagger of Destruction (L);Melee;Shortblades;5.0;71;61;50.2; ;0; ;163.00; ; ;58.7;Yes;Looted; 
