Name;Class;Type;Range;Damage;Attacks;Dmg/sec;Decay;Ammo;Cost;Max.TT;Markup;Dmg/PEC;Efficiency;SIB;Source;Personal effects
GeoTrek H46 Menes (L);Pistol;BLP;28.6;84;55;53.5;5.197;1500;20.197;370.00; ;2.891;57.8;Yes;Crafted; 
GeoTrek H49 Poros (L);Pistol;BLP;30.8;96;58;64.5;6.160;1700;23.160;490.00;340.00%;2.881;57.1;Yes;Crafted; 
GeoTrek H57 Kind (L);Pistol;BLP;24.2;78;61;55.1; ;1590; ;270.00; ; ;57.9;Yes;Crafted; 
GeoTrek H73 Pure (L);Pistol;BLP;25.3;89;63;64.9; ;1773; ;340.00; ; ; ;Yes;Crafted; 
GeoTrek H1051 Kisf (L);Pistol;BLP;30.8;139;49;78.9;8.461;2500;33.461;601.00; ;2.887;57.6;Yes;Crafted; 
GeoTrek H1071 Otk (L);Pistol;BLP; ; ; ; ; ; ; ; ; ; ; ; ;Crafted; 
GeoTrek LH27 Rookie (L);Pistol;Laser;37.4;55;55;35.0;2.130;1130;13.430;155.00; ;2.846;54.7;Yes;Crafted; 
GeoTrek LH57 Recruit (L);Pistol;Laser;24.2;79;60;54.9; ;1607; ;257.00; ; ;58.7;Yes;Crafted; 
GeoTrek LH76 Sergeant (L);Pistol;Laser;25.3;93;62;66.8; ;1905; ;340.00; ; ;55.1;Yes;Crafted; 
GeoTrek LP34 Whirlwind (L);Rifle;BLP;63.8;66;53;40.5;2.906;1308;15.986;208.00;133.00%;2.869; ;Yes;Crafted; 
GeoTrek LP39 Gust (L);Rifle;BLP;64.9;79;47;43.0;3.140;1580;18.940;220.00;0.00%;2.899; ;Yes;Crafted; 
GeoTrek LP43 Gale (L);Rifle;BLP; ;79;50;45.8; ;1580; ;229.00; ; ; ;Yes;Crafted; 
GeoTrek LP47 Twister (L);Rifle;BLP;53.9;79;54;49.4;3.906;1534;19.246;276.00; ;2.853;56.0;Yes;Crafted; 
GeoTrek LP53 Storm (L);Rifle;BLP;72.6;105;44;53.5; ;2131; ;306.00; ; ; ;Yes;Crafted; 
GeoTrek LP58 Hurricane (L);Rifle;BLP;62.7;108;45;56.3; ;2186; ;312.00; ; ;57.1;Yes;Crafted; 
GeoTrek LP63 Cyclone (L);Rifle;BLP; ;108;47;58.8; ;2197; ;315.00; ; ; ;Yes;Crafted; 
GeoTrek LP120 Niloticus;Rifle;BLP;58.3;12;55;7.6;0.976;200;2.976;2180.00; ;2.802;51.5;Yes;Crafted; 
GeoTrek LP120 Niloticus (L);Rifle;BLP;58.3;12;55;7.6;0.923;200;2.923;43.50;110.34%;2.853;55.1;Yes;Crafted; 
GeoTrek LP175 Sphyra (L);Rifle;BLP;57.2;17;53;10.4;1.133;300;4.133;65.00;118.46%;2.859;55.5;Yes;Crafted; 
GeoTrek LP470 Manis (L);Rifle;BLP;56.1;48;51;28.4;2.721;900;11.721;230.00;125.20%;2.846;54.6;Yes;Crafted; 
GeoTrek LP485 Apis (L);Rifle;BLP;58.3;66;53;40.5;2.987;1300;15.987;205.00;128.00%;2.869;56.3;Yes;Crafted; 
GeoTrek LP485 Apis, SGA Edition (L);Rifle;BLP;58.3;66;55;42.0;2.987;1300;15.987; ; ;2.869;56.3;Yes;Crafted; 
GeoTrek LP510 Huo (L);Rifle;BLP;56.1;86;52;51.8; ;1500; ;379.00;240.00%; ;55.7;Yes;Crafted; 
GeoTrek LP510 Huo, SGA Edition (L);Rifle;BLP;60.5;86;52;51.8;5.885;1500;20.885;379.00; ;2.862;55.7;Yes;Crafted; 
GeoTrek LP525 Geke (L);Rifle;BLP;58.3;94;50;54.4;5.837;1700;22.837;412.00;160.00%;2.861;55.6;Yes;Crafted; 
GeoTrek LP540 Tau (L);Rifle;BLP;55.0;104;54;65.1;6.260;1900;25.260;457.00; ;2.861;55.7;Yes;Crafted; 
GeoTrek LP550 Eomon (L);Rifle;BLP;77.0;83;56;53.8;0.012;1980;19.812;1.00; ;2.912;59.4;Yes;Mission; 
Geotrek LR34 Aves (L);Carbine;Laser;52.8;79;44;40.3;3.720;1551;19.230;242.00;117.00%;2.855;55.3;Yes;Crafted; 
GeoTrek LR47 Ursus (L);Carbine;Laser;53.9;86;50;49.8;3.990;1697;20.960;280.00; ;2.852;54.9;Yes;Crafted; 
Ghetto Club (L);Melee;Clubs;7.0;10;22;2.5;2.450;0;2.450;10.00;24312.00%;2.837;53.9;Yes;Looted; 
Glinting Unity, TWEN Edition;Rifle;BLP;66.6;100;67;77.6;0.708;1970;20.408;300.00; ;3.406;88.0;Yes;Looted; 
Gravis GBP-32;Pistol;BLP;36.3;44;67;34.1;2.630;787;10.500;125.00; ;2.912;59.5;No;Looted; 
Gravis GBP-34;Pistol;BLP;33.0;49;68;38.6;3.080;924;12.320;140.00; ;2.764;48.8;No;Looted; 
Gravis GBP-35;Pistol;BLP;34.1;44;71;36.2;2.630;787;10.500;130.00; ;2.912;59.5;No;Looted; 
Gravis GBP-35 Mk.II;Pistol;BLP;30.8;47;67;36.5;2.810;841;11.220;135.00; ;2.911;59.4;No;Looted; 
Gravis GBR-23;Rifle;BLP;55.0;37;67;28.7;2.350;705;9.400;110.00; ;2.736;46.9;No;Looted; 
Gravis GBR-30;Rifle;BLP;77.0;52;57;34.3;3.150;944;12.590;145.00; ;2.871;56.4;No;Looted; 
Gravis GBR-34;Rifle;BLP;71.5;60;54;37.5;3.640;1090;14.540;170.00; ;2.868;56.2;No;Looted; 
Gravis GBR-34 Mk.II;Rifle;BLP;79.2;56;59;38.3;3.410;1023;13.640;170.00; ;2.853;55.1;No;Looted; 
Gravis GLP-27;Pistol;Laser;38.5;62;41;29.4;3.730;1117;14.900;180.00; ;2.892;57.9;No;Looted; 
Gravis GLP-31;Pistol;Laser;36.3;55;55;35.0;3.330;997;13.300;140.00; ;2.874;56.6;No;Looted; 
Gravis GLP-33;Pistol;Laser;36.3;60;48;33.4;3.630;1087;14.500;165.00; ;2.876;56.9;No;Looted; 
Gravis GLP-36;Pistol;Laser;36.3;57;60;39.6;3.500;1050;14.000;160.00; ;2.830;53.4;No;Looted; 
Gravis GLR-26;Carbine;Laser;55.0;63;40;29.2;3.810;1141;15.220;172.00; ;2.877;56.8;No;Looted; 
Gravis GLR-27;Carbine;Laser;66.0;54;43;26.9;3.179;953;12.709;135.00; ;2.953;62.6;No;Looted; 
Gravis GLR-29;Carbine;Laser;77.0;63;43;31.4;3.800;1141;15.210;195.00; ;2.879;56.8;No;Looted; 
Gravis GLR-33;Carbine;Laser;84.7;59;52;35.5;3.570;1068;14.250;195.00; ;2.878;56.9;No;Looted; 
Great Argonaut Claws, FEN Edition;Melee;Power Fist;5.0;80;76;70.4;1.184;1461;15.794;175.00; ;3.520;83.4;Yes;Event, Looted; 
Great Argonaut's Claws (L);Melee;Power Fist;6.0;74;61;52.3; ;0; ;290.00; ; ;60.5;Yes;Looted; 
Green Envy Star Stunna (L);Rifle;BLP;22.0;22;83;21.2; ;429; ;25.00; ; ;57.8;Yes;Token Trader;Deceleration 100% duration 0.2s
Green Envy Sticky Laucher (L);Support;Grenade;131.9;35;37;15.0; ;695; ;25.00; ; ;71.1;Yes;Token Trader;22% Deceleration on hit
Green Envy Turrelion Spec Flamebather (L);Flamethrower;BLP;16.5;44;83;42.3; ;958; ;25.00; ; ;57.8;Yes;Token Trader;Burn 55% of Damage 3.0sec
Green Envy Xent Tech Freeze Ray (L);Rifle;BLP;71.5;58;22;14.8; ;1295; ;25.00; ; ;57.8;Yes;Token Trader;35% Deceleration on hit 4.0sec
Grenade Launcher NGL-1;Support;Grenade;73.0;8;27;2.5;1.650;100;2.650;20.00; ;2.098;13.9;Yes;Old Time; 
Grindhouse Rodriguez (L);Rifle;BLP;66.0;38;56;24.6; ;5400; ;6.00; ; ;0.0;Yes;Crafted; 
Grindhouse Sleaze (L);Rifle;BLP;33.0;12;22;3.1;2.000;1000;12.000;4.00; ;0.695;0.0;Yes;Crafted; 
Grindhouse Striptease (L);Rifle;BLP;66.0;60;56;38.9;5.000;9999;104.990;10.00; ;0.397;0.0;Yes;Crafted; 
Grindhouse Tarantino (L);Rifle;BLP;66.0;48;56;31.1;5.000;6900;74.000;8.00; ;0.451;0.0;Yes;Crafted; 
Grunt Flamethrower (FA) (L);Flamethrower;BLP;35.2;30;61;21.2;2.000;529;7.290;20.00;115.38%;2.860;55.6;Yes;Looted; 
Guide Marber, SGA Edition;Rifle;Plasma;160.0;122;14;19.8;4.000;2500;29.000;145.00;3000.00 PED;2.924;60.3;No;Event; 
Heavy Porcupine HMAP-52 (L);Mounted;BLP;150.0;114;60;79.2;0.000;2803;28.030;28.00; ;2.827;53.2;Yes;Crafted; 
Heavy Porcupine HMAP-V2 (L);Mounted;BLP;175.0;128;60;89.0; ;3010; ;28.00; ; ;62.8;Yes;Crafted; 
Heavy Porcupine HMAP-V3 (L);Mounted;BLP;200.0;142;60;98.7;0.000;3316;33.160;28.00; ;2.976;64.4;Yes;Crafted; 
Heimdall;Carbine;Laser;66.0;44;39;19.9;1.300;1000;11.300;123.00; ;2.706;44.9;No;Crafted; 
Hel;Carbine;Laser;60.5;51;39;23.0; ;1200; ;154.00; ; ;44.9;No;Crafted; 
